prompt,response
Nocobase 是用什么语言开发的？,Nocobase 使用 TypeScript 语言开发。
为什么说 Nocobase 不是使用 Go 语言编写的？,因为 Nocobase 使用的是 TypeScript，而不是 Go 语言。
Nocobase 的前端框架是什么？,Nocobase 前端使用 React 框架。
Ant Design 和 Formily 在 Nocobase 中扮演什么角色？,在 Nocobase 中，Ant Design 是前端 UI 组件库，而 Formily 用于实现基于 JSON Schema 的界面组件表示和渲染。
Nocobase 后端的主要技术有哪些？,Nocobase 后端主要使用了 Node.js、Sequelize 和 Koa 技术。
Nocobase 中不使用 Python 作为后端语言的原因是什么？,因为 Nocobase 使用的是 Node.js 而不是 Python 来处理服务器逻辑和 HTTP 请求。
Koa 在 Nocobase 后端的作用是什么？,Koa 用于处理 Nocobase 的 HTTP 请求。
Sequelize 是否是 Nocobase 中数据库操作的唯一选择？,虽然 Sequelize 是 Nocobase 中使用的 ORM 工具，但并不排除其他 ORM 或直接 SQL 使用的可能性，只是目前使用的是 Sequelize。
Nocobase 的后端是否支持 MySQL 数据库？,通过 Sequelize 提供的兼容性，Nocobase 支持包括 MySQL 在内的多种数据库类型。
前端和后端在 Nocobase 中各使用了哪些关键技术？,前端技术有 React、Ant Design 和 Formily；后端则主要依赖于 Node.js、Sequelize 以及 Koa 技术栈。
Nocobase 是否支持 Vue 框架的开发？,不，目前 Nocobase 使用的是 React 而不是 Vue 进行前端开发。
为什么选择使用 Sequelize 而非其他 ORM 工具？,Sequelize 是一个为 Node.js 开发的流行 ORM 库，它支持多种数据库，并且提供了强大的关系映射功能，这也是 Nocobase 选择它的原因。
Nocobase 的前端是否使用了 Vue 框架？,不是，Nocobase 前端框架是 React 而非 Vue。
如何在 Nocobase 中进行 HTTP 请求处理？,通过 Koa 实现对 HTTP 请求的高效、简洁的处理机制。
为什么选择使用 Node.js 作为后端开发语言？,Node.js 支持异步非阻塞 I/O 操作，适合构建可扩展的服务器应用，这也是 Nocobase 使用它的原因之一。
Nocobase 是否采用了 Angular 作为前端框架？,不是，Angular 并未在 Nocobase 中使用，它是基于 React 的。
React 在 Nocobase 前端架构中扮演了什么角色？,React 是 Nocobase 前端的主要框架，负责构建用户界面并实现组件化开发模式。
Nocobase 的前端 UI 组件是如何进行配置和渲染的？,使用 Formily 库根据 JSON Schema 来表示和渲染界面组件。
除了 Node.js，Koa 还可以与哪些语言结合使用？,虽然 Koa 主要用于 Node.js 项目中，但理论上它可以与其他支持 JavaScript 的环境结合使用，不过这在 Nocobase 中并未体现。
Nocobase 使用了哪种类型的 ORM 工具来处理数据库关系？,Nocobase 使用的是 Sequelize 这个基于 Node.js 的 ORM 框架。
NocoBase 的主要功能是什么？,NocoBase 提供无代码生成基于 Web 界面的管理系统和基于插件架构的扩展框架。
使用 NocoBase 能做什么类型的系统？,可以利用 NocoBase 生成基于 Web 界面的管理系统，通过管理界面创建、编辑和删除数据实体对象，并自动管理对应的数据库表。
NocoBase 是否支持数据实体关系？,是的，NocoBase 支持一对一、一对多、多对多的数据实体对象之间的关系配置。
如何扩展 NocoBase 的功能？,可以通过安装插件的形式来为 NocoBase 系统灵活扩充前后端的功能。
NocoBase 是基于什么架构的系统？,NocoBase 采用微内核+插件架构实现，开发者可以自行开发插件以扩展系统的功能。
在 NocoBase 中创建数据实体对象后会发生什么？,创建的数据实体对象将自动关联到对应的数据库表，并支持增删改查界面的自动生成和管理。
